Date,Time,Temperature,Humidity,Wind Speed,Weather Condition,City
2024-12-06,21:00:00,0.2121906507791017,0.35416666666666663,0.4878863826232248,scattered clouds,New York
2024-12-07,00:00:00,0.19981668194317137,0.3958333333333333,0.3926482873851295,scattered clouds,New York
2024-12-07,03:00:00,0.18606782768102656,0.46874999999999994,0.41019214703425233,overcast clouds,New York
2024-12-07,06:00:00,0.17002749770852427,0.5729166666666666,0.4862155388471178,broken clouds,New York
2024-12-07,09:00:00,0.16590284142988082,0.5520833333333334,0.5129490392648288,broken clouds,New York
2024-12-07,12:00:00,0.16659028414298807,0.5416666666666666,0.4970760233918129,broken clouds,New York
2024-12-07,15:00:00,0.19225481209899173,0.4895833333333333,0.45530492898913955,clear sky,New York
2024-12-07,18:00:00,0.23945921173235563,0.41666666666666663,0.4252297410192148,few clouds,New York
2024-12-07,21:00:00,0.24770852428964252,0.44791666666666663,0.39933166248955726,broken clouds,New York
2024-12-08,00:00:00,0.24014665444546285,0.4583333333333333,0.41938178780284047,broken clouds,New York
2024-12-08,03:00:00,0.24839596700274974,0.41666666666666663,0.534670008354219,light snow,New York
2024-12-08,06:00:00,0.2506874427131072,0.46874999999999994,0.5438596491228072,light snow,New York
2024-12-08,09:00:00,0.26993583868010995,0.4791666666666666,0.5522138680033417,overcast clouds,New York
2024-12-08,12:00:00,0.2740604949587534,0.5104166666666666,0.5279866332497912,overcast clouds,New York
2024-12-08,15:00:00,0.31805682859761686,0.53125,0.5505430242272349,overcast clouds,New York
2024-12-08,18:00:00,0.3769477543538038,0.5208333333333334,0.5229741019214704,overcast clouds,New York
2024-12-08,21:00:00,0.3648029330889092,0.5833333333333334,0.41019214703425233,overcast clouds,New York
2024-12-09,00:00:00,0.3253895508707607,0.6875,0.2573099415204679,broken clouds,New York
2024-12-09,03:00:00,0.30064161319890004,0.7395833333333334,0.2748538011695907,few clouds,New York
2024-12-09,06:00:00,0.2850595783684693,0.7604166666666666,0.1879699248120301,few clouds,New York
2024-12-09,09:00:00,0.2779560036663611,0.7604166666666666,0.07852965747702591,few clouds,New York
2024-12-09,12:00:00,0.2788725939505041,0.75,0.10609857978279033,scattered clouds,New York
2024-12-09,15:00:00,0.3148487626031164,0.6979166666666666,0.13533834586466167,overcast clouds,New York
2024-12-09,18:00:00,0.3290559120073327,0.7291666666666666,0.25062656641604014,light rain,New York
2024-12-09,21:00:00,0.31645279560036665,0.8541666666666666,0.3508771929824562,light rain,New York
2024-12-10,00:00:00,0.33386801099908336,0.8958333333333334,0.393483709273183,light rain,New York
2024-12-10,03:00:00,0.3416590284142988,0.8854166666666666,0.44611528822055146,light rain,New York
2024-12-10,06:00:00,0.34647112740604946,0.8854166666666666,0.3959899749373434,light rain,New York
2024-12-10,09:00:00,0.34922089825847846,0.9166666666666666,0.35505430242272346,light rain,New York
2024-12-10,12:00:00,0.35701191567369384,0.9375,0.27568922305764415,light rain,New York
2024-12-10,15:00:00,0.35861594867094404,0.9166666666666666,0.3767752715121137,light rain,New York
2024-12-10,18:00:00,0.3462419798350137,0.8854166666666666,0.42439431913116127,overcast clouds,New York
2024-12-10,21:00:00,0.3510540788267644,0.90625,0.35588972431077703,overcast clouds,New York
2024-12-11,00:00:00,0.35747021081576535,0.9375,0.39682539682539686,light rain,New York
2024-12-11,03:00:00,0.36640696608615947,0.9687499999999999,0.31913116123642443,overcast clouds,New York
2024-12-11,06:00:00,0.38428047662694775,0.9791666666666666,0.2489557226399332,light rain,New York
2024-12-11,09:00:00,0.4264436296975252,0.9895833333333334,0.3575605680868839,light rain,New York
2024-12-11,12:00:00,0.479147571035747,0.9583333333333334,0.6090225563909775,moderate rain,New York
2024-12-11,15:00:00,0.4867094408799266,0.9583333333333334,0.46365914786967427,moderate rain,New York
2024-12-11,18:00:00,0.44019248395967003,0.9270833333333334,0.25313283208020054,moderate rain,New York
2024-12-06,21:00:00,0.3847387717690192,0.7604166666666666,0.6649958228905598,light rain,London
2024-12-07,00:00:00,0.4314848762603116,0.8541666666666666,0.7903091060985798,light rain,London
2024-12-07,03:00:00,0.42438130155820347,0.6770833333333334,0.7343358395989975,light rain,London
2024-12-07,06:00:00,0.37923923006416127,0.7083333333333334,0.887218045112782,light rain,London
2024-12-07,09:00:00,0.32722273143904673,0.8020833333333334,1.0,light rain,London
2024-12-07,12:00:00,0.3185151237396884,0.8958333333333334,0.7819548872180452,moderate rain,London
2024-12-07,15:00:00,0.32584784601283223,0.84375,0.7811194653299918,light rain,London
2024-12-07,18:00:00,0.3095783684692942,0.8645833333333334,0.7560568086883876,light rain,London
2024-12-07,21:00:00,0.32241063244729606,0.8958333333333334,0.7368421052631581,light rain,London
2024-12-08,00:00:00,0.33776351970669105,0.8645833333333334,0.7451963241436926,light rain,London
2024-12-08,03:00:00,0.35174152153987165,0.8125,0.7761069340016709,overcast clouds,London
2024-12-08,06:00:00,0.3354720439963336,0.875,0.7677527151211363,light rain,London
2024-12-08,09:00:00,0.33776351970669105,0.8645833333333334,0.7284878863826233,light rain,London
2024-12-08,12:00:00,0.3593033913840513,0.8020833333333334,0.6558061821219717,light rain,London
2024-12-08,15:00:00,0.3758020164986251,0.7395833333333334,0.6065162907268171,light rain,London
2024-12-08,18:00:00,0.3796975252062328,0.7291666666666666,0.6173767752715122,overcast clouds,London
2024-12-08,21:00:00,0.3707607699358387,0.8125,0.49456975772765255,overcast clouds,London
2024-12-09,00:00:00,0.36686526122823093,0.7916666666666666,0.4962406015037595,overcast clouds,London
